left_shoulder_x,left_shoulder_y,left_knee_x,left_knee_y,left_knee_x,left_knee_y
281.80707,284.2823,270.23026,439.24078,270.23026,439.24078
278.26654,283.02008,268.48315,438.9895,268.48315,438.9895
276.1203,283.0368,268.05655,439.7226,268.05655,439.7226
273.73578,282.66086,269.62503,439.7904,269.62503,439.7904
268.9225,282.0918,275.21255,433.33032,275.21255,433.33032
267.11438,282.73953,282.9514,426.53226,282.9514,426.53226
266.0873,282.93927,292.2232,420.64822,292.2232,420.64822
265.86304,283.47305,289.9259,425.16086,289.9259,425.16086
267.52127,283.80817,277.31323,431.26245,277.31323,431.26245
270.94702,283.6349,265.2513,433.8512,265.2513,433.8512
273.4426,284.33618,264.799,434.3106,264.799,434.3106
277.4334,284.53616,268.1489,434.88632,268.1489,434.88632
278.75793,284.71643,268.81696,435.14307,268.81696,435.14307
280.9242,284.21487,268.20157,436.39755,268.20157,436.39755
282.33832,284.03235,269.33258,436.00214,269.33258,436.00214
283.36227,284.18323,270.0883,436.75385,270.0883,436.75385
284.28284,284.28766,271.24908,436.37427,271.24908,436.37427
284.42587,284.05087,271.04407,436.1758,271.04407,436.1758
